,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode
danceability,1.0,0.2415632778308073,0.25143589155205476,0.19931025846421807,-0.2429512639890242,-0.22590028634365078,-0.10616843087476545,0.5281498162795533,-0.04871053623239091,-0.12037108658496468,0.01882374609777904,-0.04471911652755512
energy,0.2415632778308073,1.0,0.7647349853389,-0.053506028703144845,-0.715411608089864,-0.19583859454803557,0.12463218709741872,0.37227630762574565,0.22808684383304947,0.02482496225682698,0.036294097052506455,-0.06524595876281947
loudness,0.25143589155205476,0.7647349853389,1.0,-0.16711207686548088,-0.5194232900554191,-0.3293063124937367,0.029528814897415625,0.27544844747561514,0.18539392089075887,0.00033671174643929233,0.02710903710482162,-0.04046386350221519
speechiness,0.19931025846421807,-0.053506028703144845,-0.16711207686548088,1.0,0.0690599745015313,-0.10244032824227049,0.20704652298986426,0.04650112744864722,-0.08861030061147511,-0.12577136366262415,-0.0010346778205811333,-0.01799231445144755
acousticness,-0.2429512639890242,-0.715411608089864,-0.5194232900554191,0.0690599745015313,1.0,0.20441205784265076,-0.004738060440234539,-0.180938585338797,-0.19556529628742972,-0.06443367777333667,-0.02741355198410986,0.058917708656565065
instrumentalness,-0.22590028634365078,-0.19583859454803557,-0.3293063124937367,-0.10244032824227049,0.20441205784265076,1.0,-0.038847866812272244,-0.17522637857696116,-0.0532478429840936,0.06927754344550394,-0.0067755124712191046,-0.01000837205889835
liveness,-0.10616843087476545,0.12463218709741872,0.029528814897415625,0.20704652298986426,-0.004738060440234539,-0.038847866812272244,1.0,-3.4256493002169916e-05,-0.014135544425690292,0.0021368863364494284,-0.006773609338010065,0.0070094901795090415
valence,0.5281498162795533,0.37227630762574565,0.27544844747561514,0.04650112744864722,-0.180938585338797,-0.17522637857696116,-3.4256493002169916e-05,1.0,0.13122822495698136,-0.163201661673394,0.0199919864151187,0.01147383163287358
tempo,-0.04871053623239091,0.22808684383304947,0.18539392089075887,-0.08861030061147511,-0.19556529628742972,-0.0532478429840936,-0.014135544425690292,0.13122822495698136,1.0,-0.0014260726550596973,0.00436217455858783,0.007950187866007048
duration_ms,-0.12037108658496468,0.02482496225682698,0.00033671174643929233,-0.12577136366262415,-0.06443367777333667,0.06927754344550394,0.0021368863364494284,-0.163201661673394,-0.0014260726550596973,1.0,0.004625532055132641,-0.02761006066525748
key,0.01882374609777904,0.036294097052506455,0.02710903710482162,-0.0010346778205811333,-0.02741355198410986,-0.0067755124712191046,-0.006773609338010065,0.0199919864151187,0.00436217455858783,0.004625532055132641,1.0,-0.12949121013460685
mode,-0.04471911652755512,-0.06524595876281947,-0.04046386350221519,-0.01799231445144755,0.058917708656565065,-0.01000837205889835,0.0070094901795090415,0.01147383163287358,0.007950187866007048,-0.02761006066525748,-0.12949121013460685,1.0
