feature_a,feature_b,pearson_r
energy,loudness,0.7647349853389
energy,acousticness,-0.715411608089864
danceability,valence,0.5281498162795533
loudness,acousticness,-0.5194232900554191
energy,valence,0.3722763076257456
loudness,instrumentalness,-0.3293063124937367
loudness,valence,0.2754484474756151
danceability,loudness,0.2514358915520547
danceability,acousticness,-0.2429512639890242
danceability,energy,0.2415632778308073
energy,tempo,0.2280868438330494
danceability,instrumentalness,-0.2259002863436507
speechiness,liveness,0.2070465229898642
acousticness,instrumentalness,0.2044120578426507
danceability,speechiness,0.199310258464218
energy,instrumentalness,-0.1958385945480355
acousticness,tempo,-0.1955652962874297
loudness,tempo,0.1853939208907588
acousticness,valence,-0.180938585338797
instrumentalness,valence,-0.1752263785769611
loudness,speechiness,-0.1671120768654808
valence,duration_ms,-0.163201661673394
valence,tempo,0.1312282249569813
key,mode,-0.1294912101346068
speechiness,duration_ms,-0.1257713636626241
energy,liveness,0.1246321870974187
danceability,duration_ms,-0.1203710865849646
danceability,liveness,-0.1061684308747654
speechiness,instrumentalness,-0.1024403282422704
speechiness,tempo,-0.0886103006114751
instrumentalness,duration_ms,0.0692775434455039
speechiness,acousticness,0.0690599745015313
energy,mode,-0.0652459587628194
acousticness,duration_ms,-0.0644336777733366
acousticness,mode,0.058917708656565
energy,speechiness,-0.0535060287031448
instrumentalness,tempo,-0.0532478429840936
danceability,tempo,-0.0487105362323909
speechiness,valence,0.0465011274486472
danceability,mode,-0.0447191165275551
loudness,mode,-0.0404638635022151
instrumentalness,liveness,-0.0388478668122722
energy,key,0.0362940970525064
loudness,liveness,0.0295288148974156
duration_ms,mode,-0.0276100606652574
acousticness,key,-0.0274135519841098
loudness,key,0.0271090371048216
energy,duration_ms,0.0248249622568269
valence,key,0.0199919864151187
danceability,key,0.018823746097779
speechiness,mode,-0.0179923144514475
liveness,tempo,-0.0141355444256902
valence,mode,0.0114738316328735
instrumentalness,mode,-0.0100083720588983
tempo,mode,0.007950187866007
liveness,mode,0.007009490179509
instrumentalness,key,-0.0067755124712191
liveness,key,-0.00677360933801
acousticness,liveness,-0.0047380604402345
duration_ms,key,0.0046255320551326
tempo,key,0.0043621745585878
liveness,duration_ms,0.0021368863364494
tempo,duration_ms,-0.0014260726550596
speechiness,key,-0.0010346778205811
loudness,duration_ms,0.0003367117464392
liveness,valence,-3.425649300216992e-05
