feature,pearson_r,pairwise_n
popularity,0.3586912988031227,11265
spud_popularity,0.3418031429473596,11265
acousticness,-0.10614332636263112,11265
valence,-0.09680101968697362,11265
danceability,-0.0807157844652322,11265
energy,0.07947296533352986,11265
loudness,0.07922061829626974,11265
duration_ms,0.06273605258638729,11265
instrumentalness,0.05153201411815852,11265
speechiness,-0.03597016320648874,11265
liveness,-0.02860995218511323,11265
tempo,0.020668255315640153,11263
mode,-0.009139514328117016,11265
key,0.007882814531553635,11265
