node_type,vector_column,feature_index,feature_name,safe_primary_input,modeling_note
artist,features_with_popularity_context,0,artist_metadata_available,True,included in safe feature vector
artist,features_with_popularity_context,1,followers_missing,True,included in safe feature vector
artist,features_with_popularity_context,2,genres_missing,True,included in safe feature vector
artist,features_with_popularity_context,3,z_log_followers,True,included in safe feature vector
artist,features_with_popularity_context,4,genre_hash_00,True,included in safe feature vector
artist,features_with_popularity_context,5,genre_hash_01,True,included in safe feature vector
artist,features_with_popularity_context,6,genre_hash_02,True,included in safe feature vector
artist,features_with_popularity_context,7,genre_hash_03,True,included in safe feature vector
artist,features_with_popularity_context,8,genre_hash_04,True,included in safe feature vector
artist,features_with_popularity_context,9,genre_hash_05,True,included in safe feature vector
artist,features_with_popularity_context,10,genre_hash_06,True,included in safe feature vector
artist,features_with_popularity_context,11,genre_hash_07,True,included in safe feature vector
artist,features_with_popularity_context,12,genre_hash_08,True,included in safe feature vector
artist,features_with_popularity_context,13,genre_hash_09,True,included in safe feature vector
artist,features_with_popularity_context,14,genre_hash_10,True,included in safe feature vector
artist,features_with_popularity_context,15,genre_hash_11,True,included in safe feature vector
artist,features_with_popularity_context,16,genre_hash_12,True,included in safe feature vector
artist,features_with_popularity_context,17,genre_hash_13,True,included in safe feature vector
artist,features_with_popularity_context,18,genre_hash_14,True,included in safe feature vector
artist,features_with_popularity_context,19,genre_hash_15,True,included in safe feature vector
artist,features_with_popularity_context,20,genre_hash_16,True,included in safe feature vector
artist,features_with_popularity_context,21,genre_hash_17,True,included in safe feature vector
artist,features_with_popularity_context,22,genre_hash_18,True,included in safe feature vector
artist,features_with_popularity_context,23,genre_hash_19,True,included in safe feature vector
artist,features_with_popularity_context,24,genre_hash_20,True,included in safe feature vector
artist,features_with_popularity_context,25,genre_hash_21,True,included in safe feature vector
artist,features_with_popularity_context,26,genre_hash_22,True,included in safe feature vector
artist,features_with_popularity_context,27,genre_hash_23,True,included in safe feature vector
artist,features_with_popularity_context,28,genre_hash_24,True,included in safe feature vector
