entity,segment,value,count,percentage
artist,artist_metadata_available,0,52731,73.59
artist,artist_metadata_available,1,18924,26.41
artist,follower_band,unknown,52731,73.59
artist,follower_band,10k_100k,7779,10.856
artist,follower_band,100k_1m,4715,6.58
artist,follower_band,1k_10k,4391,6.128
artist,follower_band,1m_plus,1106,1.544
artist,follower_band,under_1k,933,1.302
playlist,eligible_for_link_prediction,1,18409,97.769
playlist,eligible_for_link_prediction,0,420,2.231
playlist,playlist_size_band,large_25_99,7075,37.575
playlist,playlist_size_band,medium_10_24,6545,34.76
playlist,playlist_size_band,very_large_100_plus,3711,19.709
playlist,playlist_size_band,small_5_9,1078,5.725
playlist,playlist_size_band,under_5_not_eligible,420,2.231
track,audio_features_available,0,403855,97.286
track,audio_features_available,1,11265,2.714
track,duration_band,2_to_4_min,189703,45.698
track,duration_band,4_to_6_min,152254,36.677
track,duration_band,over_6_min,57452,13.84
track,duration_band,under_2_min,15711,3.785
track,release_decade_segment,unknown_no_audio_match,403855,97.286
track,release_decade_segment,1990,3396,0.818
track,release_decade_segment,2000,2856,0.688
track,release_decade_segment,1980,1900,0.458
track,release_decade_segment,1970,1294,0.312
track,release_decade_segment,2010,1063,0.256
track,release_decade_segment,1960,635,0.153
track,release_decade_segment,1950,65,0.016
track,release_decade_segment,1940,33,0.008
track,release_decade_segment,1930,14,0.003
track,release_decade_segment,1920,9,0.002
track,spud_popularity_band,low_under_0_10,228825,55.123
track,spud_popularity_band,moderate_0_10_0_29,129651,31.232
track,spud_popularity_band,popular_0_30_0_59,54593,13.151
track,spud_popularity_band,high_0_60_plus,2051,0.494
