model,partition,k,evaluated_playlists,recall,ndcg,hitrate,mrr,catalog_coverage,tail_recommendation_share
Random,validation,10,18409,0.04748640413438415,0.048257868905051335,0.2953446683687327,0.09713821828005108,0.3011827905184043,0.8954804715085013
Random,validation,20,18409,0.0944839375081883,0.0633849216976613,0.4628714215872671,0.10867690722253757,0.43497061090768935,0.8959204736813515
Train popularity,validation,10,18409,0.2298909220740803,0.246557143368172,0.6106252376554946,0.35890187425577724,0.04153738677972634,0.0005323483078928785
Train popularity,validation,20,18409,0.32719200147719724,0.26654717766066915,0.7114454886196969,0.36597519013100543,0.07605511659279245,0.06498451844206637
LightGCN playlist embedding,validation,10,18409,0.34169102166946924,0.3824418397590681,0.7393122929002118,0.5142398861150559,0.24914241665060705,0.647954804715085
LightGCN playlist embedding,validation,20,18409,0.44814560465347447,0.3973460750519874,0.818838611548699,0.5198028682576199,0.37905665831566776,0.6987044380466076
LightGCN seed centroid,validation,10,18409,0.3652926914045476,0.4154792826028218,0.7639198218262806,0.5580984801257494,0.22744989400655233,0.5889890814275626
LightGCN seed centroid,validation,20,18409,0.4717555247929077,0.42768222538274653,0.8362757346949862,0.5631713478220781,0.35331952206590866,0.655296322450975
Hybrid seed + audio (w=0.05),validation,10,18409,0.36569905435456906,0.41553768598417856,0.7645173556412624,0.5577905518953375,0.22751975332433996,0.5891792058232387
Hybrid seed + audio (w=0.05),validation,20,18409,0.4719445710339858,0.42767110706006095,0.836384377206801,0.5628294999635736,0.35339179032568896,0.6554592862186974
Random,test,10,18409,0.04748640413438415,0.048257868905051335,0.2953446683687327,0.09713821828005108,0.3006046444401619,0.8956217067738607
Random,test,20,18409,0.0944839375081883,0.0633849216976613,0.4628714215872671,0.10867690722253757,0.43456349971092695,0.8957602259764246
Train popularity,test,10,18409,0.22719685586976218,0.24322679381867518,0.6090499212341789,0.3534123017813061,0.04147475428791675,0.00039654516812428705
Train popularity,test,20,18409,0.32446982118769063,0.2630366821387897,0.7100874572220109,0.3604488783515393,0.07562150703411062,0.06377315443533055
LightGCN playlist embedding,test,10,18409,0.3408075378603613,0.383220353661112,0.7356727687544136,0.5138187023772879,0.24900028907303912,0.6488999945678744
LightGCN playlist embedding,test,20,18409,0.4493027151230483,0.3984191959335321,0.8181324352219024,0.5196248220560534,0.3785122374253228,0.6990874029007551
LightGCN seed centroid,test,10,18409,0.3656708992085949,0.4166721776219843,0.7647889619207996,0.5582403620727268,0.22794372711505106,0.5899179749035798
LightGCN seed centroid,test,20,18409,0.4707508032687819,0.42773034579251923,0.8339399206909663,0.5631100831728423,0.3535098284833301,0.6564886740181433
Hybrid seed + audio (w=0.05),test,10,18409,0.36566131725406065,0.4166006256941398,0.7647346406648922,0.5581725036149502,0.22801840431682405,0.5902221739366614
Hybrid seed + audio (w=0.05),test,20,18409,0.4709163150528094,0.4276937857904347,0.8341572057145962,0.5630625656572381,0.3535507804972056,0.6566081807811397
