,spud_popularity,catalog_popularity,log_playlist_degree,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_year
spud_popularity,1.0,0.6694080971579711,0.34180314294735886,0.034050600908727024,0.12509851879089506,0.2086402741315233,0.058252429343088476,-0.13837480085156748,-0.04445676198360801,-0.0061593689994932825,-0.08351409147081248,0.025158420263055037,0.40869333474531777
catalog_popularity,0.6694080971579711,1.0,0.3586912988031182,0.09035089813367944,0.14541419718390114,0.2612491220721408,0.04439128607532085,-0.15270961006557646,-0.0916343641121998,-0.021109909279838527,-0.04155399804483356,0.014720727327378598,0.49865064498527817
log_playlist_degree,0.34180314294735886,0.3586912988031182,1.0,-0.0807157837189031,0.07947296713295553,0.07922061854322131,-0.03597016314732656,-0.10614332638140828,0.05153201410357762,-0.02860995246515045,-0.09680102003948009,0.020668713109565837,0.09255033540451903
danceability,0.034050600908727024,0.09035089813367944,-0.0807157837189031,1.0,0.09479527703269196,0.1557770240027763,0.12209924527835278,-0.12866622962659346,-0.22118792267830997,-0.10687915127820156,0.5565043339127447,-0.13744140944816216,0.11482776264605167
energy,0.12509851879089506,0.14541419718390114,0.07947296713295553,0.09479527703269196,1.0,0.7519338608638558,0.18616415001871803,-0.7111348903493048,-0.1472090137486829,0.17411404600850253,0.3488829515480819,0.2099298986982412,0.2550919576765993
loudness,0.2086402741315233,0.2612491220721408,0.07922061854322131,0.1557770240027763,0.7519338608638558,1.0,0.12156520147561853,-0.5446930161140033,-0.32793424101798485,0.10219656979066306,0.2153119763003081,0.14583350351882007,0.40690560873944953
speechiness,0.058252429343088476,0.04439128607532085,-0.03597016314732656,0.12209924527835278,0.18616415001871803,0.12156520147561853,1.0,-0.10998367105833688,-0.06765330677943443,0.1267057269756625,0.07092553160845409,0.04118380748265065,0.06383166966619712
acousticness,-0.13837480085156748,-0.15270961006557646,-0.10614332638140828,-0.12866622962659346,-0.7111348903493048,-0.5446930161140033,-0.10998367105833688,1.0,0.13976076464946685,-0.0706415593282489,-0.23788875789121067,-0.16452676644107908,-0.2506311284304223
instrumentalness,-0.04445676198360801,-0.0916343641121998,0.05153201410357762,-0.22118792267830997,-0.1472090137486829,-0.32793424101798485,-0.06765330677943443,0.13976076464946685,1.0,-0.047024048616857404,-0.2180255342490602,-0.049874006321229965,-0.09521208111160975
liveness,-0.0061593689994932825,-0.021109909279838527,-0.02860995246515045,-0.10687915127820156,0.17411404600850253,0.10219656979066306,0.1267057269756625,-0.0706415593282489,-0.047024048616857404,1.0,-0.005069116226914056,0.023366078654392018,0.00247134522406438
valence,-0.08351409147081248,-0.04155399804483356,-0.09680102003948009,0.5565043339127447,0.3488829515480819,0.2153119763003081,0.07092553160845409,-0.23788875789121067,-0.2180255342490602,-0.005069116226914056,1.0,0.0803069221761155,-0.09129156325700334
tempo,0.025158420263055037,0.014720727327378598,0.020668713109565837,-0.13744140944816216,0.2099298986982412,0.14583350351882007,0.04118380748265065,-0.16452676644107908,-0.049874006321229965,0.023366078654392018,0.0803069221761155,1.0,0.03527003344073785
release_year,0.40869333474531777,0.49865064498527817,0.09255033540451903,0.11482776264605167,0.2550919576765993,0.40690560873944953,0.06383166966619712,-0.2506311284304223,-0.09521208111160975,0.00247134522406438,-0.09129156325700334,0.03527003344073785,1.0
